Chapter,Section,Sub-Section,Block,Paragraph,Classifications,Compliance,CID,ControlText
"7. Information Security Incidents","7.1. Detecting Information Security Incidents","Rationale & Controls","Preventing and detecting information security incidents",7.1.7.C.03.,"All Classifications",Should,1155,"Agencies SHOULD use the results of the security risk assessment to determine the appropriate balance of resources allocated to prevention versus resources allocated to detection of information security incidents."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Objective,,7.2.1.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Objective,,7.2.2.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,Scope,7.2.3.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,Scope,7.2.4.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,"Requirement for information security incident reporting",7.2.5.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,"Requirement for information security incident reporting",7.2.6.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,"Requirement for information security incident reporting",7.2.7.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,"Historical Notes",7.2.8.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,Background,7.2.9.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,Background,7.2.10.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,Background,7.2.11.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,Background,7.2.12.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,"Definition of a Cyber Security Incident",7.2.13.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,"Definition of a Cyber Security Incident",7.2.14.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",Context,"Definition of a Cyber Security Incident",7.2.15.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents",References,,7.2.16.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Reporting information security incidents",7.2.17.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Reporting information security incidents",7.2.17.C.01.,"All Classifications",Must,1203,"Agencies MUST direct personnel to report information security incidents to an ITSM as soon as possible after the information security incident is discovered in accordance with agency procedures."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Reporting information security incidents",7.2.17.C.02.,"All Classifications",Should,1205,"Agencies SHOULD:

encourage personnel to note and report any observed or suspected security weaknesses in, or threats to, systems or services;
establish and follow procedures for reporting system, software or other malfunctions;
put mechanisms in place to enable the types, volumes and costs of information security incidents and malfunctions to be quantified and monitored; and
deal with the violation of agency information security policies and procedures by personnel through training and, where warranted, a formal disciplinary process."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Responsibilities when reporting an information security incident",7.2.18.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Responsibilities when reporting an information security incident",7.2.18.R.02.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Responsibilities when reporting an information security incident",7.2.18.C.01.,"All Classifications",Must,1211,"The ITSM MUST keep the CISO fully informed of information security incidents within an agency."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Reporting significant information security incidents to National Cyber Security Centre (NCSC)",7.2.19.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Reporting significant information security incidents to National Cyber Security Centre (NCSC)",7.2.19.C.01.,"All Classifications",Must,1216,"The Agency ITSM, MUST report information security incidents categorised as:

Critical;
Serious; or
incidents related to multi-agency or government systems;
to the NCSC (see also below) as soon as possible."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Reporting non-critical information security incidents to National Cyber Security Centre (NCSC)",7.2.20.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Reporting non-critical information security incidents to National Cyber Security Centre (NCSC)",7.2.20.C.01.,"All Classifications",Should,1220,"Agencies SHOULD report information security incidents categorised as Low to the NCSC."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","How to report information security incidents to National Cyber Security Centre (NCSC)",7.2.21.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","How to report information security incidents to National Cyber Security Centre (NCSC)",7.2.21.R.02.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","How to report information security incidents to National Cyber Security Centre (NCSC)",7.2.21.C.01.,"All Classifications",Should,1223,"Agencies SHOULD formally report information security incidents using the NCSC on-line reporting form."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Outsourcing and information security incidents",7.2.22.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Outsourcing and information security incidents",7.2.22.C.01.,"All Classifications",Must,1226,"Agencies that outsource their information technology services and functions MUST ensure that the service provider advises and consults with the agency when an information security incident occurs."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Cryptographic keying material",7.2.23.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Cryptographic keying material",7.2.23.R.02.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Cryptographic keying material",7.2.23.C.01.,"All Classifications",Must,1233,"Agencies MUST notify all system users of any suspected or confirmed loss or compromise of keying material."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Replacement of Cryptographic Key (HACE) keying material",7.2.24.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","Replacement of Cryptographic Key (HACE) keying material",7.2.24.C.01.,"All Classifications",Must,6592,"Agencies MUST replace compromised cryptographic keys as a matter of urgency and record the replacement in the incident reporting."
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","High Assurance Cryptographic Equipment (HACE) keying material",7.2.25.R.01.,,,,
"7. Information Security Incidents","7.2. Reporting Information Security Incidents","Rationale & Controls","High Assurance Cryptographic Equipment (HACE) keying material",7.2.25.C.01.,"All Classifications",Must,1237,"Agencies MUST urgently notify GCSB of any suspected loss or compromise of keying material associated with HACE."
"7. Information Security Incidents","7.3. Managing Information Security Incidents",Objective,,7.3.1.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents",Context,Scope,7.3.2.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents",Context,Scope,7.3.3.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents",References,,7.3.4.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Information security incident management documentation",7.3.5.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Information security incident management documentation",7.3.5.C.01.,"All Classifications",Must,1260,"Agencies MUST detail information security incident responsibilities and procedures for each system in the relevant Information Security Documents."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Recording information security incidents",7.3.6.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Recording information security incidents",7.3.6.C.01.,"All Classifications",Should,1264,"Agencies SHOULD ensure that all information security incidents are recorded in a register."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Recording information security incidents",7.3.6.C.02.,"All Classifications",Should,1266,"Agencies SHOULD use their incidents register as a reference for future security risk assessments."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling data spills",7.3.7.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling data spills",7.3.7.C.01.,"All Classifications",Must,1271,"Agencies MUST implement procedures and processes to detect data spills."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling data spills",7.3.7.C.02.,"All Classifications",Must,1273,"When a data spill occurs agencies MUST assume that data at the highest classification held on or processed by the system, has been compromised."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling data spills",7.3.7.C.03.,"All Classifications",Must,1274,"Agency SOPs MUST include procedure for:

all personnel with access to systems; 
notification to the ITSM of any data spillage; and
notification to the ITSM of access to any data which they are not authorised to access."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling data spills",7.3.7.C.04.,"All Classifications",Must,1275,"Agencies MUST document procedures for dealing with data spills in their IRP."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling data spills",7.3.7.C.05.,"All Classifications",Must,1276,"Agencies MUST treat any data spill as an information security incident and follow the IRP to deal with it."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling data spills",7.3.7.C.06.,"All Classifications",Must,1277,"When a data spill occurs agencies MUST report the details of the data spill to the information owner."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Containing data spills",7.3.8.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Containing data spills",7.3.8.R.02.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Containing data spills",7.3.8.R.03.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Containing data spills",7.3.8.R.04.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Containing data spills",7.3.8.C.01.,"All Classifications",Must,1283,"When classified information is introduced onto a system not accredited to handle the information, the following actions MUST be followed:

Immediately seek the advice of an ITSM;
Segregate or isolate the affected system and/or data spill;
Personnel MUST NOT delete the higher classified information unless specifically authorised by an ITSM."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Containing data spills",7.3.8.C.02.,"All Classifications","Must Not",1284,"When classified information is introduced onto a system not accredited to handle the information, personnel MUST NOT copy, view, print or email the information."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Containing data spills",7.3.8.C.03.,"All Classifications",Should,1285,"When a data spill involving classified information or contamination of classified systems occurs and systems cannot be segregated, or isolated agencies SHOULD immediately contact the NCSC for further advice."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling malicious code infection",7.3.9.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling malicious code infection",7.3.9.R.02.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling malicious code infection",7.3.9.R.03.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Handling malicious code infection",7.3.9.C.01.,"All Classifications",Should,1290,"Agencies SHOULD follow the steps described below when malicious code is detected:

isolate the infected system;
decide whether to request assistance from NCSC;
if such assistance is requested and agreed to, delay any further action until advised by NCSC;
scan all previously connected systems and any media used within a set period leading up to the information security incident, for malicious code;
isolate all infected systems and media to prevent reinfection;
change all passwords and key material stored or potentially accessed from compromised systems, including any websites with password controlled access;
advise system users of any relevant aspects of the compromise, including a recommendation to change all passwords on compromised systems;
use up-to-date anti-malware software to remove the malware from the systems or media;
monitor network traffic for malicious activity;
report the information security incident and perform any other activities specified in the IRP; and
in the worst case scenario, rebuild and reinitialise the system."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Allowing continued attacks",7.3.10.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Allowing continued attacks",7.3.10.C.01.,"All Classifications",Should,1294,"Agencies considering allowing an attacker to continue some actions under controlled conditions for the purpose of seeking further information or evidence SHOULD seek legal advice."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Integrity of evidence",7.3.11.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Integrity of evidence",7.3.11.C.01.,"All Classifications",Should,1297,"Agencies SHOULD:

transfer a copy of raw audit trails and other relevant data onto media for secure archiving, as well as securing manual log records for retention; and
ensure that all personnel involved in the investigation maintain a record of actions undertaken to support the investigation."
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Seeking assistance",7.3.12.R.01.,,,,
"7. Information Security Incidents","7.3. Managing Information Security Incidents","Rationale & Controls","Seeking assistance",7.3.12.C.01.,"All Classifications",Should,1300,"Agencies SHOULD ensure that any requests for NCSC assistance are made as soon as possible after the information security incident is detected and that no actions which could affect the integrity of the evidence are carried out prior to NCSC’s involvement."
"8. Physical Security","8.1. Facilities",Objective,,8.1.1.,,,,
"8. Physical Security","8.1. Facilities",Context,Scope,8.1.2.,,,,
"8. Physical Security","8.1. Facilities",Context,"Physical security requirements for storing classified information",8.1.3.,,,,
"8. Physical Security","8.1. Facilities",Context,"Secure and unsecure areas",8.1.4.,,,,
"8. Physical Security","8.1. Facilities",Context,"Physical security certification authorities",8.1.5.,,,,
"8. Physical Security","8.1. Facilities",Context,"Physical security certification authorities",8.1.6.,,,,
"8. Physical Security","8.1. Facilities",Context,"Facilities located outside of New Zealand",8.1.7.,,,,
"8. Physical Security","8.1. Facilities",References,,8.1.8.,,,,
"8. Physical Security","8.1. Facilities","PSR references",,8.1.9.,,,,
"8. Physical Security","8.1. Facilities","Rationale & Controls","Facility physical security",8.1.10.R.01.,,,,
"8. Physical Security","8.1. Facilities","Rationale & Controls","Facility physical security",8.1.10.R.02.,,,,
"8. Physical Security","8.1. Facilities","Rationale & Controls","Facility physical security",8.1.10.C.01.,"All Classifications",Must,1323,"Agencies MUST ensure that any facility containing a system or its associated infrastructure, including deployable systems, are certified and accredited in accordance with the PSR."
"8. Physical Security","8.1. Facilities","Rationale & Controls","Preventing observation by unauthorised people",8.1.11.R.01.,,,,
"8. Physical Security","8.1. Facilities","Rationale & Controls","Preventing observation by unauthorised people",8.1.11.C.01.,"All Classifications",Should,1326,"Agencies SHOULD prevent unauthorised people from observing systems, in particular desks, screens and keyboards."
"8. Physical Security","8.1. Facilities","Rationale & Controls","Preventing observation by unauthorised people",8.1.11.C.02.,"All Classifications",Should,1327,"Agencies SHOULD position desks, screens and keyboards away from windows and doorways so that they cannot be overseen by unauthorised persons.  If required, blinds or drapes SHOULD be fixed to the inside of windows, and doors kept closed to avoid oversight."
"8. Physical Security","8.1. Facilities","Rationale & Controls","Bringing non-agency owned devices into secure areas",8.1.12.R.01.,,,,
"8. Physical Security","8.1. Facilities","Rationale & Controls","Bringing non-agency owned devices into secure areas",8.1.12.C.01.,"Top Secret","Must Not",1330,"Agencies MUST NOT permit non-agency owned devices to be brought into TOP SECRET areas without prior approval from the Accreditation Authority."
"8. Physical Security","8.1. Facilities","Rationale & Controls","Technical Inspection and surveillance counter-measure testing",8.1.13.R.01.,,,,
"8. Physical Security","8.1. Facilities","Rationale & Controls","Technical Inspection and surveillance counter-measure testing",8.1.13.C.01.,"Top Secret, Confidential, Secret",Must,1333,"Agencies MUST ensure that technical surveillance counter-measure tests are conducted as a part of the physical security certification."
"8. Physical Security","8.1. Facilities","Rationale & Controls","Technical Inspection and surveillance counter-measure testing",8.1.13.C.02.,"Confidential, Secret, Top Secret",Must,1334,"Agencies MUST determine if further technical surveillance counter-measure testing is required, particularly if visitors or contractors have entered secure areas."
"8. Physical Security","8.2. Servers And Network Devices",Objective,,8.2.1.,,,,
"8. Physical Security","8.2. Servers And Network Devices",Context,Scope,8.2.2.,,,,
"8. Physical Security","8.2. Servers And Network Devices",Context,"Secured server and communications rooms",8.2.3.,,,,
"8. Physical Security","8.2. Servers And Network Devices",Context,"Secured server and communications rooms",8.2.4.,,,,
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Securing servers and network devices",8.2.5.R.01.,,,,
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Securing servers and network devices",8.2.5.R.02.,,,,
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Securing servers and network devices",8.2.5.C.01.,"All Classifications",Must,1349,"Agencies MUST ensure that servers and network devices are secured within cabinets as outlined in PSR Management protocol for physical security, with supporting document – Storage requirements for electronic information in ICT facilities."
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Securing server rooms, communications rooms and security containers",8.2.6.R.01.,,,,
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Securing server rooms, communications rooms and security containers",8.2.6.C.01.,"All Classifications",Must,1353,"Agencies MUST ensure that keys or equivalent access mechanisms to server rooms, communications rooms and security containers are appropriately controlled."
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Securing server rooms, communications rooms and security containers",8.2.6.C.02.,"All Classifications","Must Not",1354,"Agencies MUST NOT leave server rooms, communications rooms or security containers in an unsecured state unless the server room is occupied by authorised personnel."
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Administrative measures - Site security plans",8.2.7.R.01.,,,,
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls","Administrative measures - Site security plans",8.2.7.C.01.,"All Classifications",Must,1357,"Agencies MUST develop a Site Security Plan (SitePlan) for each server and communications room. Information to be covered includes, but is not limited to:

a summary of the security risk review for the facility the server or communications room is located in;
roles and responsibilities of facility and security personnel;
the administration, operation and maintenance of the electronic access control system or security alarm system;
key management, the enrolment and removal of system users and issuing of personal identification number codes and passwords;
personnel security clearances, security awareness training and regular briefings;
regular inspection of the generated audit trails and logs;
end of day checks and lockup;
reporting of information security incidents; and
what activities to undertake in response to security alarms."
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls",No-lone-zones,8.2.8.R.01.,,,,
"8. Physical Security","8.2. Servers And Network Devices","Rationale & Controls",No-lone-zones,8.2.8.C.01.,"All Classifications",Must,1360,"Agencies operating no-lone-zones MUST suitably signpost the area and have all entry and exit points appropriately secured."
"8. Physical Security","8.3. Network Infrastructure",Objective,,8.3.1.,,,,
"8. Physical Security","8.3. Network Infrastructure",Context,Scope,8.3.2.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in secure areas",8.3.3.R.01.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in secure areas",8.3.3.R.02.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in secure areas",8.3.3.R.03.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in secure areas",8.3.3.R.04.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in secure areas",8.3.3.C.01.,"All Classifications",Must,1373,"Agencies MUST certify the physical security of facilities containing network infrastructure to the highest classification of information being communicated over the network infrastructure."
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in secure areas",8.3.3.C.02.,"All Classifications",Should,1374,"Agencies communicating classified information over infrastructure in secure areas SHOULD encrypt their information with at least an Approved Cryptographic Protocol. See Section 17.3 – Approved Cryptographic Protocols."
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Protecting network infrastructure",8.3.4.R.01.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Protecting network infrastructure",8.3.4.C.01.,"Top Secret",Must,1377,"Agencies MUST locate patch panels, fibre distribution panels and structured wiring enclosures within at least lockable commercial cabinets."
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Protecting network infrastructure",8.3.4.C.02.,"All Classifications",Should,1378,"Agencies SHOULD locate patch panels, fibre distribution panels and structured wiring enclosures within at least lockable commercial cabinets."
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in unsecure areas",8.3.5.R.01.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in unsecure areas",8.3.5.R.02.,,,,
"8. Physical Security","8.3. Network Infrastructure","Rationale & Controls","Network infrastructure in unsecure areas",8.3.5.C.01.,"All Classifications",Must,1382,"Agencies communicating classified information over public network infrastructure or over infrastructure in unsecure areas MUST use encryption to lower the handling instructions to be equivalent to those for unclassified networks."
"8. Physical Security","8.4. IT Equipment",Objective,,8.4.1.,,,,
"8. Physical Security","8.4. IT Equipment",Context,Scope,8.4.2.,,,,
"8. Physical Security","8.4. IT Equipment",Context,Scope,8.4.3.,,,,
"8. Physical Security","8.4. IT Equipment",Context,"Handling IT equipment containing media",8.4.4.,,,,
"8. Physical Security","8.4. IT Equipment",Context,"Handling IT equipment containing media",8.4.5.,,,,
"8. Physical Security","8.4. IT Equipment",Context,"Handling IT equipment containing media",8.4.6.,,,,
"8. Physical Security","8.4. IT Equipment",Context,"IT equipment using hybrid hard drives or solid state drives",8.4.7.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Accounting for IT equipment",8.4.8.R.01.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Accounting for IT equipment",8.4.8.R.02.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Accounting for IT equipment",8.4.8.C.01.,"All Classifications",Must,1400,"Agencies MUST account for all IT equipment containing media."
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Processing requirements",8.4.9.R.01.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Processing requirements",8.4.9.C.01.,"All Classifications",Must,1407,"Agencies MUST certify the physical security of facilities containing IT equipment to the highest classification of information being processed, stored or communicated by the equipment within the facilities."
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Storage requirements",8.4.10.R.01.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Storage requirements",8.4.10.C.01.,"All Classifications",Must,1403,"Agencies MUST ensure that when secure areas are non-operational or when work areas are unoccupied IT equipment with media is secured in accordance with the minimum physical security requirements for storing classified information as specified in the PSR Management protocol for physical security – Physical Security for ICT, with supporting document – Storage requirements for electronic information in ICT facilities."
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Securing non-volatile media for storage",8.4.11.R.01.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Securing non-volatile media for storage",8.4.11.C.01.,"All Classifications",Should,1409,"Agencies choosing to prevent the storage of classified information on non-volatile media and enforcing scrubbing of temporary data at logoff or shutdown SHOULD:

assess the security risks associated with such a decision; and
specify the processes and conditions for their application within the system’s SSP.
 "
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Securing volatile media for storage",8.4.12.R.01.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Securing volatile media for storage",8.4.12.C.01.,"All Classifications",Should,1412,"Agencies securing volatile media for IT equipment during non-operational hours SHOULD:

disconnect power from the equipment the media resides within;
assess the security risks if not sanitising the media; and
specify any additional processes and controls that will be applied within the system’s SSP."
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Encrypting media within IT equipment",8.4.13.R.01.,,,,
"8. Physical Security","8.4. IT Equipment","Rationale & Controls","Encrypting media within IT equipment",8.4.13.C.01.,"All Classifications",Should,1415,"Agencies SHOULD encrypt media within IT equipment with an Approved Cryptographic Algorithm. See Section 17.2 - Approved Cryptographic Algorithms."
"8. Physical Security","8.5. Tamper Evident Seals",Objective,,8.5.1.,,,,
"8. Physical Security","8.5. Tamper Evident Seals",Context,Scope,8.5.2.,,,,
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Recording seal usage",8.5.3.R.01.,,,,
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Recording seal usage",8.5.3.C.01.,"Top Secret",Must,1425,"Agencies MUST record the usage of seals in a register that is appropriately secured."
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Recording seal usage",8.5.3.C.02.,"Top Secret",Must,1426,"Agencies MUST record in a register, information on:

issue and usage details of seals and associated tools;
serial numbers of all seals purchased; and
the location or asset on which each seal is used."
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Recording seal usage",8.5.3.C.03.,"All Classifications",Should,1427,"Agencies SHOULD record the usage of seals in a register that is appropriately secured."
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Recording seal usage",8.5.3.C.04.,"All Classifications",Should,1428,"Agencies SHOULD record in a register information on:

issue and usage details of seals and associated tools;
serial numbers of all seals purchased; and
the location or asset on which each seal is used."
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Purchasing seals",8.5.4.R.01.,,,,
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Purchasing seals",8.5.4.C.01.,"All Classifications",Should,1431,"Agencies SHOULD consult with the seal manufacturer to ensure that, if available, any purchased seals and sealing tools display a unique identifier or image appropriate to the agency."
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Purchasing seals",8.5.4.C.02.,"All Classifications",Should,1432,"Seals and any seal application tools SHOULD be secured when not in use."
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Purchasing seals",8.5.4.C.03.,"All Classifications","Should Not",1433,"Agencies SHOULD NOT allow contractors to independently purchase seals and associated tools on behalf of the government."
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Reviewing seal usage",8.5.5.R.01.,,,,
"8. Physical Security","8.5. Tamper Evident Seals","Rationale & Controls","Reviewing seal usage",8.5.5.C.01.,"All Classifications",Should,1436,"Agencies SHOULD review seals for differences with a register at least annually. At the same time seals SHOULD be examined for any evidence of tampering."
"9. Personnel Security","9.1. Information Security Awareness and Training",Objective,,9.1.1.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training",Context,Scope,9.1.2.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","PSR references",,9.1.3.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Information security awareness and training responsibility",9.1.4.R.01.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Information security awareness and training responsibility",9.1.4.R.02.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Information security awareness and training responsibility",9.1.4.R.03.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Information security awareness and training responsibility",9.1.4.C.01.,"All Classifications",Must,1449,"Agency management MUST ensure that all personnel who have access to a system have sufficient training and ongoing information security awareness."
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Information security awareness and training",9.1.5.R.01.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Information security awareness and training",9.1.5.C.01.,"All Classifications",Must,1452,"Agencies MUST provide ongoing information security awareness and a training programme for personnel on topics such as responsibilities, legislation and regulation, consequences of non-compliance with information security policies and procedures, and potential security risks and counter-measures."
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Information security awareness and training",9.1.5.C.02.,"All Classifications",Must,1453,"Agencies MUST provide information security awareness training as part of their employee induction programmes."
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Degree and content of information security awareness and training",9.1.6.R.01.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Degree and content of information security awareness and training",9.1.6.R.02.,,,,
"9. Personnel Security","9.1. Information Security Awareness and Training","Rationale & Controls","Degree and content of information security awareness and training",9.1.6.C.01.,"All Classifications",Should,1457,"Agencies SHOULD align the detail, content and coverage of information security awareness and training programmes to system user responsibilities."
